Sentences,Sentiment
" Các nhịp tăng đều là ngắn hạn chừng nào phá vỡ được xu hướng, còn không đều bị giới hạn bởi áp lực bán kết hợp với dòng tiền yếu ở vùng giá cao. Nếu thật sự đầu tư dài hạn thì không nên nhìn bảng hàng ngày giai đoạn này. Còn nếu ngày ngày bám bảng, nghĩa là phải sẵn sàng cho các giao dịch lướt sóng. Việc lẫn lộn các chiến lược đầu tư rất dễ gây ức chế: Dài hạn vẫn sốt ruột khi giá nay tăng mai giảm, còn ngắn hạn lại vin vào cơ bản tốt của cổ phiếu để gặm nhấm thua lỗ hàng ngày",1
"Với tín hiệu cầu bắt đáy hôm nay, khả năng cao ngày mai thị trường xanh lại một chút trước khi thiếu dòng tiền và quay lại trạng thái lình xình yếu. Ngày mai có thể xuất hiện dao động mạnh hơn bằng trụ, nên Long/Short linh hoạt theo basis",0
" Nói đơn giản, cầu bắt đáy đã xuất hiện, nhưng vẫn đang chọn theo vùng giá",1
" Cụ thể: quỹ thành viên Amersham Industries Limited đã mua vào 1 triệu cổ phiếu KDH vào ngày 9/2.Sau giao dịch, tỷ lệ sở hữu của cả nhóm đã tăng từ hơn 70,7 triệu cổ phiếu, chiếm 9,87% vốn điều lệ lên gần 72 triệu cổ phiếu, chiếm 10,01% và tiếp tục là cổ đông lớn tại Nhà Khang Điền.Tạm tính theo giá đóng cửa ngày 9/2, giá cổ phiếu KDH là 26.950 đồng/cp, ước tính quỹ ngoại đã chi khoảng 27 tỷ đồng để mua sở hữu số cổ phiếu trên",-1
"Trước đó, ông Phạm Khánh Phương  đã bán 901.520 CP vào ngày 16/06/2023. Qua đó, sau giao dịch ông Phạm Khánh Phương - thành viên HĐQT đã giảm lượng sở hữu cổ phiếu SJC từ hơn 1,81 triệu cổ phiếu, chiếm 26,1% xuống còn 908.576 cổ phiếu, chiếm 13,1% vốn tại SJC.Được biết, động thái bán cổ phiếu 901.520 CP SJC của ông Khánh Phương này là do ngày 26/06/2023, Ủy ban Chứng khoán Nhà nước (SSC) đã ban hành quyết định số 514/QĐ-XPVPHC về việc xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán đối với ông Phạm Khánh Phương (TP",-1
" Nhưng phản ứng của Fed là điều khó dự đoán. Đó là lý do chính khiến vàng giảm giá mạnh”, chuyên gia về kim loại quý của Gainesville Coins, ông Everett Millman, nhận định trên Kitco News",1
" Tuy nhiên, lợi nhuận sau thuế sau lợi ích CĐTS của DIG tăng 24% so với cùng kỳ đạt 79 tỷ đồng, mà VCSC chủ yếu cho rằng đến từ thu nhập tài chính tăng lên 170 tỷ đồng (+610% so với cùng kỳ) do DIG ghi nhận thu nhập đầu tư là 162,4 tỷ đồng",-1
- Lần đầu tiên doanh nghiệp đóng cửa nhiều hơn doanh nghiệp thành lập mới,-1
"“Khách hàng của chúng tôi là các gia đình lao động Mỹ, như giáo viên, công nhân xây dựng, nhân viên y tế… Họ đang ở trong một môi trường kinh tế khó khăn”, ông Rosen nói.",-1
" Thị trường thứ cấp đang ghi nhận tình trạng dư thừa nguồn cung”, các nhà phân tích của Nomura Holdings Inc",1
"Chính phủ Mỹ ngày 12/3 tuyên bố hành động để bảo vệ toàn bộ tiền gửi và ngăn chặn bất kỳ ảnh hưởng tài chính lan rộng nào từ vụ sụp đổ bất ngờ của Silicon Valley Bank (SVB), khẳng định rằng khách hàng của nhà băng này sẽ được tiếp cận đầy đủ với tiền gửi của họ bắt đầu từ ngày thứ Hai (13/3)",0
" Từ góc nhìn kỹ thuật, VN-Index đang trong giai đoạn tích lũy bên dưới vùng kháng cự 1.058 – 1.062 điểm với thanh khoản duy trì tích cực. Các chỉ báo như RSI hiện ở mức trung tính khi dao động quanh vùng 50 – 55. Chỉ báo ADX tiếp tục hướng xuống mức 17. Giữa bối cảnh dòng tiền cải thiện nhưng VN-Index lại gặp khó trước ngưỡng cản ngắn hạn, do đó chỉ số có khả năng điều chỉnh và kiểm định lại khu vực hỗ trợ gần nhất là 1.044 điểm”.Nhịp hồi sẽ diễn ra với các phiên tăng giảm đan xen(Công ty chứng khoán Vietcombank - VCBS)“Về góc nhìn kỹ thuật, VN-Index có diễn biến rung lắc tích quỹ quanh khu vực kháng cự 1060. Xét về khung đồ thị ngày, tuy VN-Index kết phiên hình thành nến đỏ giảm điểm nhưng vẫn đang có diễn biến khá tích cực khi tích lũy trong biên độ hẹp trên đường trung bình động MA20. Bên cạnh đó, đường trung bình động này cũng đang dần bẻ ngang và dần hướng lên trở lại. Tuy đường chỉ báo sức mạnh xu hướng DI+ đang ở mức cao nhưng chỉ báo ADX vẫn đang nằm ở vùng 15 cho thấy nhịp phục hồi sẽ diễn ra với các phiên giao dịch tăng giảm đan xen, kèm với sự phân hóa",0
"Theo BCTC hợp nhất năm 2022 đã kiểm toán, PLX ghi nhận lợi nhuận sau thuế đạt 1.902 tỷ đồng, giảm gần 1.222 tỷ đồng so với cùng kỳ năm 2021 (3.124 tỷ đồng).Theo giải trình từ PLX, theo BCTC hợp nhất đã kiểm toán của Tập đoàn, mặc dù lợi nhuận từ hoạt động lĩnh vực khác ngoài kinh doanh xăng dầu tăng so với cùng kỳ năm trước nhưng lợi nhuận sau thuế họp nhất năm 2022 giảm mạnh so với cùng kỳ chủ yếu là do lợi nhuận từ hoạt động kinh doanh xăng dầu năm 2022 phát sinh lỗ.Trong năm 2022 hoạt động kinh doanh xăng dầu chịu ảnh hưởng do diễn biến bất thường của giá xăng dầu thế giới cũng như từ nguồn cung tại thị trường trong nước; cụ thể: trong quý 1/2022 nhà máy Lọc hóa dầu Nghi Sơn cắt giảm sản lượng sản xuất xuống mức 55-80% công suất và có thời gian gặp sự cố kỹ thuật phải ngừng sản xuất, không đáp ứng được sản lượng cam kết theo các họp đồng (dài hạn) đã ký với các thương nhân đầu mối kinh doanh xăng dầu; giá xăng dầu thế giới biến động bất thường do chịu ảnh hưởng trực tiếp xung đột quân sự giữa Nga và Ukraine",0
"VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 23/5/2023.Kết thúc phiên giao dịch ngày 22/5, chỉ số VN-Index tăng +3.57 điểm, đóng cửa 1070.64 điểm. Tương tự, HNX-Index +1.99 điểm, đóng cửa 215.9 điểm.Thị trường có thể sẽ tiếp tục duy trì xu hướng đi ngang(Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam - BSC)""VN-Index bật tăng từ khi mở cửa, chỉ số đóng cửa tại mốc 1070.64 điểm, tăng gần 4 điểm so với phiên trước. Độ rộng thị trường nghiêng về phía tích cực với 14/19 ngành tăng điểm, dẫn đầu đà tăng là ngành Xây dựng & vật liệu và Du lịch & giải trí",1
" Diễn biến tăng điểm sau khi đã bứt phá ra khỏi giai đoạn tích lũy dài 6 tháng trước đang tạo ra kỳ vọng VN-Index sẽ hướng tới mốc 1.150 điểm và nếu tích lũy và vượt qua mốc này, thị trường có thể sẽ hình thành Uptrend mới với điều kiện có sự hỗ trợ của các yếu tố vĩ mô tích cực.Thị trường trong ngắn hạn vẫn tiếp tục sóng hồi nhưng đang tiệm cận ngưỡng kháng cự là vùng đỉnh cũ quanh 1.140 điểm và xa hơn là kháng cự mạnh 1.150 điểm. Nhà đầu tư ngắn hạn đã giải ngân trong các phiên VN-Index kiểm định lại vùng hỗ trợ như chúng tôi đã khuyến nghị trong các bản tin gần đây nên duy trì danh mục, hạn chế mua đuổi giá cao trong các phiên tăng điểm.Trong các bản tin ngày và tuần chúng tôi đều khuyến nghị các nhà đầu tư trung và dài hạn liên tục giải ngân trong giai đoạn vừa qua từ chân sóng, do đó cần duy trì danh mục hiện tại",1
"HCM) với tổng số tiền lên tới 245 triệu đồng và buộc phải bán cổ phiếu này.Liên quan đến ông Khánh Phương, Công ty Cổ phần Đầu tư Nhật Nam do vợ ông Phương là bà Vũ Thị Thuý - Chủ tịch HĐQT kiêm Tổng giám đốc đã mua 881.600 CP cổ phiếu SJC, chiếm 10,18% và trở thành cổ đông lớn của SJC vào ngày 31/3/2023. Hiện Nhật Nam đang nắm giữ 1.018.600 cổ phiếu, chiếm 14,6882% vốn tại SJC",-1
"Kết thúc quý 1/2023, ANV ghi nhận doanh thu đạt 1.155,2 tỷ đồng, giảm 5,2% so với cùng kỳ (1.219 tỷ đồng) và lợi nhuận trước thuế đạt 107,99 tỷ đồng, giảm 54,7% so với cùng kỳ năm trước (238 tỷ đồng)",1
"Thanh khoản phiên chiều trên hai sàn niêm yết đã tăng gần 18% so với buổi sáng, đạt 5.007 tỷ đồng. Trong đó HoSE khớp 4.529 tỷ đồng, tăng 16%",0
"Việc F1 đảo basis hứa hẹn VN30 sẽ hưng phấn hơn ngày mai. Mức chênh lệch +3,4 điểm vẫn đủ cho Long. Tuy nhiên nên canh điểm vào có lợi hơn.VN30 chốt hôm nay tại 1112.07. Cản gần nhất ngày mai là 1117; 1124; 1128; 1130; 1139; 1146. Hỗ trợ 1109; 1103; 1099; 1094; 1091; 1085.F1 đã đảo basis trong một nhịp Short cover dữ dội",-1
" Nhưng đối với nhiều người Mỹ khá giả trở lên, suy thoái kinh tế có vẻ đã bắt đầu.Tuần trước, Bộ Thương mại Mỹ điều chỉnh tăng số liệu tổng sản phẩm trong nước (GDP) quý 1, cho biết GDP trong 3 tháng đầu năm tăng 2%, thay vì tăng 1,3% như lần công bố đầu tiên",0
" Dĩ nhiên thị trường có thêm lượng tài khoản mới khá cao hồi tháng 6, đồng nghĩa có thêm tiền mới, margin cũng tăng, nên đỉnh thanh khoản có thể cao hơn nữa. Tuy vậy thời điểm thì hơi bất lợi vì kết quả kinh doanh quý 2 sẽ là mạch thông tin tích cực cuối cùng, kéo dài 1-2 tuần nữa là hết. Tiền vào rất lớn thì cũng nên dè chừng vì cũng có lượng tiền tương tự rút đi và theo nguyên lý giá tăng, bên bất lợi chính là lượng tiền mới khi giá đã lên cao thêm làm giảm sức mua. Không phải vô lý khi ở đỉnh, thanh khoản luôn cao nhất",-1
" Điều này khiến lợi suất càng tăng mạnh hơn, dẫn tới một làn sóng lệnh gọi ký quỹ mới",-1
"“Điều này cũng có nguy cơ làm suy yếu vai trò lãnh đạo kinh tế toàn cầu của Mỹ và đặt ra câu hỏi về khả năng bảo vệ lợi ích an ninh quốc gia của chúng ta”, Bộ trưởng Tài chính Mỹ Janet L. Yellen cảnh báo.Uy tín của chính phủ một phần gắn liền với khả năng ứng phó với khủng hoảng",0
" Vì thị trường vẫn đang đi ngang, nhà đầu tư sẽ có xu hướng lướt sóng ngắn hạn và hiện thực hóa lợi nhuận nhanh, nhất là sau khi xuất hiện phiên tăng khá bùng nổ như hôm qua.Khối ngoại sáng nay giải ngân tương đương sáng hôm qua, nhưng thanh khoản của HoSE lại tăng, đồng nghĩa với lượng tiền từ khối nhà đầu tư trong nước tăng. Tổng mua hiện mới đạt 263,1 tỷ đồng, bán ra 355,2 tỷ, tương ứng bán ròng nhẹ 92,1 tỷ đồng",1
"So với giá vàng thế giới quy đổi, giá vàng SJC bán lẻ đang cao hơn 9,8-9,9 triệu đồng/lượng.Vietcombank sáng nay báo giá USD ở mức 23.340 đồng (mua vào) và 23.680 đồng (bán ra), tăng 20 đồng ở mỗi đầu giá so với sáng hôm qua, nâng tổng mức tăng trong 2 ngày lên 60 đồng",0
"Dòng vốn vào cổ phiếu EM vào ròng 10,4 tỷ USD trong tháng 7, tăng nhẹ so với tháng 6. Triển vọng kém tích cực của nền kinh tế Trung Quốc khiến dòng tiền không có nhiều bứt phá, chỉ vào ròng 10,3 tỷ USD và tập trung vào nửa cuối tháng 7 khi kỳ vọng các chính sách hỗ trợ mạnh mẽ hơn từ chính phủ Trung Quốc.Trái ngược, dòng tiền vào các thị trường mới nổi Châu Á khác vẫn khá tích cực nhờ việc muốn phân bổ danh mục đầu tư từ các quỹ như Ấn Độ (+3,2 tỷ USD), Việt Nam (+88,5 triệu USD) hay Hàn Quốc (+72,8 triệu USD). Đáng chủ ý, dòng tiền vào Đài Loan đảo chiều mạnh trong tháng 7 (rút ròng 2,1 tỷ USD) có thể do lo ngại địa chính trị với Trung Quốc",-1
"Đồng USD tụt giá trong phiên ngày thứ Sáu càng làm gia tăng sức hấp dẫn của vàng - loại tài sản định giá bằng đồng bạc xanh. Chỉ số Dollar Index chốt tuần ở mức dưới 103,8 điểm, giảm hơn 0,5% so với phiên trước. Cả tuần, chỉ số giảm gần 0,7%",1
"Chỉ số dòng tiền tích lũy FMI_Abs của nhóm Ngân hàng tăng nhẹ trong phiên ngày hôm nay, chỉ số giá giảm cho thấy dòng tiền vẫn vào nhóm này dù có lực bán ra",1
" Giờ đây, họ đang thực hiện các thỏa thuận quốc tế để cung cấp cho các công ty như Sumitomo Corp. của Nhật Bản, khi cuộc đua toàn cầu về khả năng tự cung cấp đất hiếm ngày càng gia tăng",0
" Thanh khoản thị trường cổ phiếu tháng 1 ghi nhận sự tăng trưởng với khối lượng và giá trị giao dịch bình quân phiên (chưa bao gồm Giao dịch Lô lẻ) lần lượt đạt trên 579,96 triệu cổ phiếu và 10.494 tỷ đồng, tương ứng giảm lần lượt 28,14% về khối lượng bình quân và 25,46% về giá trị bình quân so với tháng 12/2022.Tổng khối lượng cổ phiếu giao dịch (chưa bao gồm Giao dịch Lô lẻ) trong tháng đạt trên 9,2 tỷ cổ phiếu tương ứng giá trị giao dịch đạt 167.907 tỷ đồng và cũng giảm lần lượt 47,74% về khối lượng và 45,79% về giá trị so với tháng 12/2022.HOSE cho biết top 5 cổ phiếu có khối lượng giao dịch lớn nhất gồm: HPG. VPB, SHB, VND và LPB; Top 5 cổ phiếu có giá trị giao dịch lớn nhất gồm: HPG, VPB, EIB, STB và VND và Top 5 cổ phiếu có giá trị giao dịch mua ròng lớn nhất gồm: HPG, SSI,  VIC, VND, VRE.Giao dịch chứng quyền có bảo đảm (CW): Trong tháng 1/2023, khối lượng giao dịch bình quân CW đạt khoảng 21,22 triệu CW với giá trị giao dịch bình quân đạt hơn 9,9 tỷ đồng; tương ứng giảm 42,88% về khối lượng bình quân và giảm 11,07% về giá trị bình quân so với tháng 12/2022. Tổng khối lượng và giá trị giao dịch CW trong tháng lần lượt đạt 339,61 triệu CW và 158,5 tỷ đồng, tương ứng giảm 58,46% về khối lượng và giảm 35,32% về giá trị giao dịch so với tháng 12/2022.Tổng giá trị giao dịch của nhà đầu tư nước ngoài trong tháng đạt trên 34.344 tỷ đồng, chiếm hơn 10,2% tổng giá trị giao dịch cả chiều mua và bán của toàn thị trường. Nhà đầu tư nước ngoài đã thực hiện mua ròng trong tháng với giá trị hơn 2.702 tỷ đồng",1
"“Về tỷ lệ nợ xấu, ngay từ đầu năm 2023, Ban Điều hành OCB chỉ đạo sát sao xử lý nợ xấu, phấn đấu kéo tỷ lệ nợ xấu xuống thấp dưới 3% như quy định của Ngân hàng Nhà nước. Kỳ vọng của Ngân hàng là tỷ lệ nợ xấu ở mức 2% trong năm nay”, ông Tùng chia sẻ thêm.Kế hoạch năm 2023 của OCB với mục tiêu tăng trưởng lợi nhuận 37%.Kết thúc năm 2022, dù gặp nhiều khó khăn với mục tiêu lợi nhuận không như kỳ vọng (chỉ đạt 4.389 tỷ đồng, giảm đáng kể so với con số lợi nhuận trước thuế 5.519 tỷ đồng của năm trước đó), nhưng các hoạt động cốt lõi của OCB vẫn tăng trưởng 2 chữ số",0
"Năm 2023 tình hình có nhiều thách thức cho ngành phân bón nói chung và PVFCCo nói riêng khi giá phân bón giảm mạnh, xuống mức thấp nhất trong mấy năm qua, trong khi giá nguyên liệu đầu vào tăng và Nhà máy Đạm Phú Mỹ dừng máy 1 tháng để bảo dưỡng theo định kỳ. Trong tình hình đó, PVFCCo đặt kế hoạch thận trọng với doanh thu hợp nhất 17.372 tỷ đồng, lợi nhuận sau thuế 2.250 tỷ, chia cổ tức 40% là mức khá cao so với mặt bằng chung. Tuy thận trọng, nhưng đây vẫn là các chỉ tiêu đầy thách thức, đòi hỏi nỗ lực rất lớn để hoàn thành",-1
"Với nhận định thị trường như trên, chúng tôi cho rằng các nhà đầu tư ngắn ngạn nên tạm thời hạn chế giao dịch để chờ xác nhận thị trường hồi phục nhằm tránh rủi ro xu hướng tăng ngắn hạn bị thất bại",1
"Theo đó, EIB sẽ phát hành thêm 265,6 triệu cổ phiếu để trả cổ tức với tỷ lệ 18% (sở hữu 100 cổ phiếu được nhận 18 cổ phiếu mới) và vốn điều lệ của Eximbank cũng sẽ tăng từ 14.814 tỷ đồng lên 17.470 tỷ đồng",1
"Cũng theo Global Witness, tổng giá trị của lượng LNG mà châu Âu nhập từ Nga trong 7 tháng đầu năm nay, nếu tính theo giá trên thị trường giao ngay, là khoảng 5,29 tỷ Euro",1
"Theo Wall Street Journal, do thiếu một số dữ liệu kinh tế truyền thống, các nhà kinh tế buộc phải điều chỉnh mô hình dự báo đối với kinh tế Nga, theo đó dựa vào các chỉ số như xuất khẩu và giá dầu thô, thâm hụt thương mại và thâm hụt ngân sách liên bang. Những con số này cho thấy dường như kinh tế Nga đang suy thoái.Dù đã nâng dự báo tăng trưởng của Nga trong năm 2023, IMF cho rằng tác động của xung đột ở Ukraine sẽ làm giảm dự báo tăng trưởng Nga của tổ chức này khoảng 7 điểm phần trăm vào năm 2027.Nga được dự báo sẽ đối mặt với những “cơn gió ngược” ngày càng lớn khi xung đột ở Ukraine kéo dài - Ảnh: TAS“Người Nga sẽ chịu thiệt hại lớn vì cuộc xung đột",-1
" Nếu không, lạm phát sẽ kéo dài”.Giá dầu thô Brent giao sau tại London tăng 0,95 USD/thùng, tương đương tăng 1,2%, chốt ở 83,16 USD/thùng. Giá dầu thô WTI giao sau tại New York tăng 0,93 USD/thùng, tương đương tăng 1,2%, chốt sở 76,32 USD/thùng",1
" Một khi giảm giá thì chính F0 này bị ảnh hưởng. Thứ hai, là tài sản đảm bảo, 70% giá tị tài sản đảm bảo của các doanh nghiệp là bất động sản, nếu bây giờ giảm giá bán sẽ ảnh hưởng đến giá trị tài sản đảm bảo của các công ty đó ở ngân hàng. Khi đó, Ngân hàng sẽ yêu cầu các công ty bất động sản bổ sung tài sản đảm bảo, các công ty còn không mà bổ sung là câu chuyện hóc búa",-1
"Với kỳ vọng thị trường chứng khoán sẽ tăng tốc trong nửa cuối năm 2023 nhờ hỗ trợ chính sách tiền tệ và chính sách tài khóa mở rộng, trong báo cáo cập nhật triển vọng ngành chứng khoán, VnDirect cho rằng ngành môi giới sẽ là đại diện tốt nhất cho sự phục hồi của thị trường chứng khoán. Do đó,  các công ty chứng khoán sẽ có kết quả hoạt động tốt hơn trong nửa cuối năm 2023.Luận điểm đầu tư thứ nhất là hoạt động cho vay margin được cải thiện. Theo quan sát của VnDirect, biên độ chênh lệch lãi suất cho vay và chi phí vốn của toàn ngành thường rơi vào khoảng 4,0% – 7,0%, tùy thuộc vào điều kiện thị trường",1
" Trước đại dịch Covid-19, việc khách Trung Quốc đổ xô tới mua nhà đã đẩy giá nhà tăng vọt ở những quốc gia như Canada, Mỹ và Australia. Chính nhà đầu tư Trung Quốc là lực lượng dẫn tới một cơn sốt đầu cơ bất động sản ở những thị trường như thành phố New York vào giữa thập kỷ trước",1
"Công văn giải trình về việc bán chui cổ phiếu của Chủ tịch LDG Nguyễn Khánh Hưng ngày 17-08-2023.Ngày 17-08-2023, Chủ tịch Công ty Đầu tư LDG Nguyễn Khánh Hưng đã gửi văn bản giải trình gửi đến Hội đồng quản trị, Ban điều hành Công ty và các cổ đông của Công ty về việc bán chui giao dịch cổ phiếu vừa qua.Theo văn bản này, ngày 15/08/2023, ông Hưng đã thực hiện giao dịch bán hơn 2,6 triệu cổ phiếu LDG nhưng do trong thời gian từ 08-15/08, ông đang trong chuyến công tác xa nên không thể trực tiếp thực hiện công bố thông tin.Thay vào đó, ông giao cho thư ký thực hiện việc công bố thông tin nhưng vì nhân sự mới chưa nắm rõ quy định nên dẫn dến sai sót, làm chậm trễ quá trình công bố thông tin.Ngay trong ngày 15/08, khi phát hiện sai sót, ông Hưng cho biết đã yêu cầu xử lý bổ sung để đảm bảo đúng quy định và dừng mọi giao dịch",-1
