Sentences,Sentiment
" Tuyên bố này được người đứng đầu điện Kremlin đưa ra trong bối cảnh nền kinh tế Nga đang chật vật vì các biện pháp trừng phạt khắc nghiệt mà phương Tây áp lên nước này liên quan tới cuộc chiến tranh ở Ukraine.Tuy nhiên, Nam Phi - nước chủ nhà của hội nghị - cho biết sẽ không có các cuộc thảo luận về một đồng tiền chung của nhóm BRICS như ý tưởng được Brazil đưa ra nhằm giảm bớt phụ thuộc vào đồng USD",-1.0
"Hiện tượng đảo chiều giá là rất phổ biến trên thị trường sáng nay, nhất là với các cổ phiếu đầu cơ",0.0
"“Tôi tương đối lạc quan rằng trong vòng đôi năm nữa, chúng ta sẽ thấy giá vàng đạt 2.500 USD/oz",1.0
"Theo SGI, cầu tín dụng dù đang yếu, nhưng khi xu hướng lãi suất tiếp tục hạ, người đi vay và cả ngân hàng sẽ dần lạc quan hơn, giúp kinh tế và các kênh đầu tư có cơ sở tạo đáy và dần hồi phục. Thị trường tài chính thường phản ứng nhanh hơn thể hiện qua thanh khoản sẽ tăng dần và nỗi sợ đổ vỡ giảm bớt, mặt bằng định giá được nâng lên",1.0
"Cùng ngày, Công ty Cổ phần Xây dựng và Thương mại Trung Tây Nguyên (Phú Yên) bị phạt 85 triệu đồng do không công bố đối với thông tin phải công bố theo quy định pháp luật",-1.0
" Nếu thành công, ông Lượm sẽ giảm sở hữu từ 3.552.140 cổ phiếu, chiếm 0,243 % xuống còn 3.252.140 cổ phiếu, chiếm 0,22% vốn điều lệ, giao dịch dự kiến thực hiện từ ngày 13/7 đến 11/8.Trên thị trường, giá cổ phiếu MWG đã ghi nhận sự hồi phục, tính từ ngày 24/5 đến ngày 10/7, cổ phiếu MWG tăng 25,8% từ 37.950 đồng lên 47.750 đồng/cổ phiếu và sáng nay 11/7, cổ phiếu này lại giảm nhẹ về 47.700 đồng.Mới đây, ngày 21/6, quỹ Arisaig Asia Fund Limited đã bán 668.900 cổ phiếu. Sau giao dịch, số lượng cổ phiếu của quỹ Arisaig Asia Fund Limited giảm về còn 87.181.488 cổ phiếu, chiếm 5,96%; ngày 24/5, nhóm quỹ liên quan Arisaig Partners (Asia) Pte Ltd vừa bán ra 1.338.300 cổ phiếu MWG để giảm sở hữu từ 8,08%, về còn 7,99% vốn điều lệ.Trong khi đó, MWG đã thông báo chốt danh sách cổ đông để thanh toán cổ tức năm 2022 bằng tiền mặt với tỷ lệ 5% (1 cổ phiếu được nhận 500 đồng)",0.0
"Dĩ nhiên để đẩy thanh khoản lên thì một nhịp giảm sẽ tạo điều kiện khớp các lệnh chờ, nhưng “lý do” để bên bán hạ giá sâu lại không có. Hiện các cổ phiếu lớn đang co kéo chỉ số, nên tâm lý chung là bình ổn. Muốn thị trường mở biên độ thì cơ hội duy nhất là ép trụ.Vẫn giữ quan điểm lúc này không nên cố gắng tham gia thị trường, quan sát và treo lệnh giá thấp, mua được thì tốt, không thì thôi",1.0
" Nhiều công ty giá trị nhất châu Á chứng kiến vốn hóa lao dốc mạnh trong năm 2022. Tính từ đầu năm đến ngày 21/12, giá cổ phiếu hai “đại gia” công nghệ Tencent Holdings và Alibaba Group Holding của Trung Quốc lần lượt giảm 28% và 29% trong năm nay. Còn cổ phiếu Samsung Electronics của Hàn Quốc giảm 26% giá trị",-1.0
" Như vậy phần lớn thị trường vẫn đang giằng co.Nhóm tăng giá xuất sắc cũng có nhiều cổ phiếu thanh khoản rất cao. PLX tăng 3,85% với 88 tỷ đồng; HAG tăng 3,3% với 170,6 tỷ; FRT tăng 2,53% với 36,3 tỷ; PAN tăng 2,22% với 28 tỷ; VHC tăng 2,01% với 48,7 tỷ… Những cổ phiếu khác trong nhóm chứng khoán như FTS, AGR, CTS cũng nằm trong nhóm thanh khoản cao và giá tăng trên 2%.VN-Index phục hồi chậm do thiếu đồng thuận trong nhóm blue-chips",0.0
 May mắn là hôm nay basis duy trì ổn định.Áp lực giao dịch của các quỹ có thể tạo thêm sức ép trong những phiên tới. Kịch bản giảm tiếp là cao hơn. Chiến lược vẫn là ưu tiên Short và stoploss theo basis bình quân,1.0
"VnDirect kỳ vọng lãi suất huy động bình quân kỳ hạn 12 tháng sẽ giảm xuống 7,0% trong năm 2023. Lãi suất huy động kỳ hạn 12 tháng của các ngân hàng thương mại đã giảm 50 điểm cơ bản so với mức đỉnh hồi tháng 1/2023, dao động từ 7,1% - 8,4%.Kỳ vọng lãi suất huy động sẽ tiếp tục giảm cho đến cuối năm 2023, dựa trên những lý do sau: Fed có thể kết thúc chu kỳ tăng lãi suất trong nửa đầu năm 2023, qua đó giảm áp lực lên tỷ giá VND cũng như lãi suất của Việt Nam trong nửa sau năm 2023.Nhu cầu tín dụng suy yếu do các doanh nghiệp hạn chế mở rộng hoạt động kinh doanh do lo ngại về tăng trưởng kinh tế và tiêu dùng ảm đạm. Đồng thời, thị trường bất động sản nhà ở gặp khó khăn cũng ảnh hưởng đáng kể đến tăng trưởng tín dụng. Tính đến ngày 28/3/2023, tín dụng toàn nền kinh tế chỉ tăng 2,06% so với đầu năm, thấp hơn nhiều so với mức tăng 5,97% cùng kỳ năm ngoái, theo tổng cục thống kê",1.0
"Báo cáo của IMF nhấn mạnh mối lo về điều kiện tín dụng thắt chặt hơn, tiền tiết kiệm của các hộ gia đình ở Mỹ cạn dần, và sự phục hồi kinh tế kém hơn dự kiến ​​ở Trung Quốc sau khi nước này dỡ bỏ chính sách chống Covid-19 nghiêm ngặt.“Ở Mỹ, tiền tiết kiệm dư thừa có được từ các chương trình kích cầu trong đại dịch - vốn dĩ là nguồn lực giúp các hộ gia đình vượt qua cuộc khủng hoảng chi phí sinh hoạt và các điều kiện tín dụng thắt chặt hơn - gần như đã cạn. Tại Trung Quốc, sự phục hồi sau khi nền kinh tế mở cửa trở lại có dấu hiệu mất đà trong bối cảnh những lo ngại tiếp diễn về lĩnh vực bất động sản, với những tác động đối với nền kinh tế toàn cầu”, ông Gourinchas nhận định",-1.0
" Nền kinh tế có dấu hiệu suy yếu nhưng nhìn chung vẫn trụ vững, trong đó tỷ lệ thất nghiệp ở mức 3,5% - gần thấp nhất trong hơn nửa thế kỷ.Cuộc họp chính sách tiền tệ tiếp theo của Fed sẽ diễn ra trong 2 ngày 2-3/5, với khả năng tăng lãi suất 0,25 điểm phần trăm gần như chắc chắn",1.0
"Theo các chiến lược gia của BofA, chỉ số đơn đặt hàng mới ở dưới mức 45 điểm đã xảy ra đồng thời với tình trạng “suy thoái lơi nhuận doanh nghiệp” (tăng trưởng lợi nhuận giảm trong 2 quý liên tiếp) ít nhất 4 lần trong vòng vài thập kỷ qua",-1.0
"Ông Lương Trí Thảo báo cáo kết quả giao dịch cổ phiếu của NNB Công ty Cổ phần Tập đoàn Đất Xanh (mã DXG-HOSE).Theo đó, ông Lương Trí Thảo - Phó Tổng Giám đốc, anh trai của ông Lương Trí Thìn, Chủ tịch HĐQT Tập đoàn Đất Xanh thông báo bán thành công 5,2 triệu cổ phiếu DXG trong thời gian từ ngày 26/4 đến ngày 11/5.Giao dịch được thực hiện bằng phương pháp thỏa thuận và/hoặc khớp lệnh. Sau giao dịch, ông Thảo giảm tỷ lệ sở hữu về còn gần 960.000 cổ phần, tương đương 0,15% vốn điều lệ công ty",-1.0
"Lúc đóng cửa phiên giao dịch ngày thứ Năm, giá vàng giao ngay tại thị trường Mỹ giảm 10,3 USD/oz, tương đương giảm hơn 0,5%, còn 1.920,5 USD/oz – theo dữ liệu từ sàn giao dịch Kitco.Vàng là tài sản định giá bằng USD trong giao dịch trên thị trường quốc tế, nên giá vàng thường diễn biến ngược chiều với tỷ giá USD. Ngoài ra, vàng là tài sản không mang lãi suất, nên môi trường lãi suất cao không có lợi cho giá vàng và ngược lại.Tỷ giá đồng USD tăng lên mức cao nhất 6 tháng, với chỉ số Dollar Index đo sức mạnh của bạc xanh so với 6 đồng tiền chủ chốt khác đạt hơn 105,5 điểm",-1.0
"Theo văn bản này, ngày 15/08/2023, ông Hưng đã thực hiện giao dịch bán hơn 2,6 triệu cổ phiếu LDG nhưng do trong thời gian từ 08-15/08, ông đang trong chuyến công tác xa nên không thể trực tiếp thực hiện công bố thông tin.Thay vào đó, ông giao cho thư ký thực hiện việc công bố thông tin nhưng vì nhân sự mới chưa nắm rõ quy định nên dẫn dến sai sót, làm chậm trễ quá trình công bố thông tin.Ngay trong ngày 15/08, khi phát hiện sai sót, ông Hưng cho biết đã yêu cầu xử lý bổ sung để đảm bảo đúng quy định và dừng mọi giao dịch",0.0
"Các dữ liệu lạm phát tháng 3 của Mỹ dự kiến công bố trong tuần này, bao gồm chỉ số giá tiêu dùng (CPI) vào ngày thứ Tư và chỉ số giá nhà sản xuất (PPI) vào ngày thứ Năm, sẽ cho thấy một bức tranh rõ nét hơn về tình trạng của nền kinh tế.Chủ tịch Fed chi nhánh Philadelphia, ông Patrick Harker, người cũng bỏ phiếu về chính sách tiền tệ của Fed trong năm nay, nhắc lại rằng ông ủng hộ việc tăng lãi suất lên trên 5% và sau đó duy trì trong một khoảng thời gian",1.0
" Giá tăng thêm 1,64% chỉ trong 30 phút cuối đợt liên tục và đợt ATC, mở rộng biên độ tăng cả ngày lên 2,65% so với tham chiếu. Riêng VCB đã góp cho VN-Index gần 2,9 điểm",1.0
"HCM, Công ty SJC báo giá vàng miếng cùng thương hiệu ở mức 66 triệu đồng/lượng và 66,7 triệu đồng/lượng, tăng 100.000 đồng/lượng so với sáng hôm qua.Ngân hàng Vietcombank báo giá USD ở mức 23.520 đồng (mua vào) và 23.860 đồng (bán ra), giảm 30 đồng so với sáng qua",1.0
"Chất lượng tài sản suy giảm tạo áp lực lên tăng trưởng lợi nhuận của các ngân hàng do 2 yếu tố.Thứ nhất, tỷ lệ nợ xấu có xu hướng tăng lên sau khi thông tư 14 về giãn nợ bị ảnh hưởng bởi đại dịch Covid-19 hết hiệu lực.Thứ hai, rủi ro nợ xấu tiềm ẩn từ danh mục tín dụng bất động sản, bao gồm cho vay chủ đầu tư bất động sản, cho vay người mua nhà và nợ xấu chéo từ trái phiếu bất động sản",-1.0
"Top bán ròng là nhóm Truyền thông. Top cổ phiếu được bán ròng gồm PVD, PDR, MBB, FUEDCMID, FUESSV30, TCB, ELC, FUEVN100, LPB, FUESSVFL",0.0
" Khả năng cao là dòng tiền sẽ luân chuyển dần sang các cổ phiếu chưa tăng nhiều. Do đó cứ kiên trì nắm giữ cổ phiếu chưa tăng vì kể cả ngắn hạn độ an toàn cũng cao hơn, VNM là ví dụ phiên này. Khi kết quả kinh doanh quý 2 sắp ra thì cổ phiếu cơ bản nên được quan tâm hơn",1.0
",- Cho 02 cá nhân vay với tổng số tiền 450 tỷ đồng tiền thu được từ đợt chào bán cổ phiếu riêng lẻ năm 2021 (theo các Hợp đồng cho vay vốn số 01/2022/TAR/HDVV ngày 12/01/2022 và số 02/2022/TAR/HDVV ngày 12/01/2022 cho vay đối với 02 cá nhân là Nguyễn Thị An Khanh và Nguyễn Văn Tuân;- Không công bố thông tin về ứng cử viên Ban kiểm soát (ông Đinh Xuân Hùng) 10 ngày trước khi diễn ra Đại hội đồng cổ đông năm 2022; công bố thông tin không đúng thời hạn theo quy định pháp luật đối với các tài liệu: BCTC riêng và hợp nhất quý 03/2022 kèm giải trình chênh lệch lợi nhuận so với cùng kỳ; BCTC riêng và hợp nhất 6 tháng đầu năm 2022 đã soát xét kèm giải trình biến động lợi nhuận sau thuế (LNST) so với cùng kỳ; BCTC riêng và hợp nhất quý 4/2021 kèm giải trình nguyên nhân biến động LNST so với cùng kỳ).Phạt 175 triệu đồng theo quy định tại khoản 5 Điều 42 Nghị định số 156/2020/NĐ-CP được sửa đổi, bổ sung theo quy định tại khoản 33 Điều 1 Nghị định số 128/2021/NĐ-CP ngày 30/12/2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP (Nghị định số 128/2021/NĐ-CP) đối với hành vi vi phạm hành chính",-1.0
"Mới đây, Ngân hàng Bản Việt (Vietcapital Bank - Mã: BVB) đã công bố tài liệu Đại hội đồng cổ đông 2023. Điểm đáng chú ý trong đại hội năm nay là việc trình thông qua nội dung chuyển giao dịch cổ phiếu BVB từ sàn UPCOM sang niêm yết tại Sở giao dịch chứng khoán TPHCM (HOSE).Cổ phiếu BVB được đăng ký giao dịch tại sàn UPCoM từ tháng 7/2020. Đại diện Ngân hàng Bản Việt cho biết, ngày 26/4 Ngân hàng sẽ tổ chức Đại hội đồng cổ đông thường niên 2023, chuyển sàn giao dịch sang niêm yết cổ phiếu tại HOSE để tạo thuận lợi cho việc giao dịch cổ phiếu của cổ đông, đồng thời hướng tới những bước đi vững chắc hơn trong tương lai. Đại hội cổ đông của Nam A Bank vào tháng 3 vừa qua đã tiếp tục thông qua việc đăng ký niêm yết toàn bộ số cổ phiếu đang lưu hành của Nam A Bank lên sàn HNX hoặc HOSE tùy theo điều kiện của thị trường",1.0
"KBSV đánh giá, việc ban hành Nghị định 08/2023/NĐ-CP về quy định chào bán, giao dịch trái phiếu doanh nghiệp riêng lẻ sẽ là một động lực để thúc đẩy sự hồi phục của thị trường Bất động sản, tuy nhiên trong ngắn hạn doanh nghiệp vẫn sẽ gặp khó khăn về dòng tiền dưới tác động của nợ vay, vốn huy động từ trái phiếu, cũng như nhu cầu sụt giảm. Do đó, sản lượng tiêu thụ của ngành Thép vẫn sẽ duy trì ở mức thấp trong Quý 2/2023.Tại thị trường nội địa, giá thép được điều chỉnh tăng 8 lần trong Q1/2023 nhằm đảm bảo chi phí giá vốn hàng bán. Cụ thể, giá thép ước tính tăng 10% so với Q4/2022, song song với đó, giá quặng sắt tăng 23% QoQ, giá than cốc tăng 10% QoQ, thép phế liệu tăng 31% QoQ, phôi thép tăng 11% QoQ",-1.0
"Cũng theo báo cáo tài chính quý 4/2022, Kinh Bắc hiện đang có tổng nợ là 17.067 tỷ đồng - tăng 18% so với đầu năm 2022 (14.433 tỷ đồng) - trong đó nợ vay tài chính ngắn hạn và dài hạn là 7.638 tỷ đồng",-1.0
" Giới chuyên gia giờ đây tin rằng Cục Dự trữ Liên bang Mỹ (Fed) sẽ phải tăng lãi suất lên mức cao hơn và giữ lãi suất ở mức cao trong thời gian lâu hơn so với dự kiến ban đầu mới có thể khống chế được lạm phát.Ngoài áp lực từ tỷ giá mạnh của đồng USD, đối với Ai Cập, Pakistan và Lebanon, phá giá đồng nội tệ cũng là một biện pháp để giành được sự hỗ trợ tài chính khẩn cấp từ IMF. Theo dữ liệu từ định chế có trụ sở ở Washington DC này, 60% số quốc gia thu nhập thấp đang đứng trước nguy cơ rơi vào tình trạng căng thẳng nợ (debt distress) hoặc đã ở trong tình trạng đó rồi",-1.0
" Công ty nghiên cứu Oxford Economics ước tính rằng trong khi lượng tiền tiết kiệm dôi dư ở Mỹ đạt khoảng 8,3% sản lượng kinh tế hàng năm vào thời điểm cuối năm 2022, thì ở Eurozone, con số tương ứng chỉ đạt hơn 5%. Người Mỹ cũng sẵn sàng sử dụng những khoản tiết kiệm đó hơn, trong khi các cuộc khảo sát cho thấy người châu Âu thận trọng với những bất ổn phát sinh từ cuộc chiến ở Ukraine",0.0
"Giá vàng thế giới đạt đỉnh mới của 1 tháng rưỡi, sau khi Ngân hàng Trung ương châu Âu (ECB) mạnh tay nâng lãi suất giữa lúc thị trường tài chính toàn cầu còn chưa hết lo về những bất ổn trong hệ thống ngân hàng hai bên bờ Đại Tây Dương. Giá vàng miếng trong nước sáng nay tăng gần nửa triệu đồng mỗi lượng, tái lập mốc 67 triệu đồng/lượng.Lúc gần 11h trưa nay, Tập đoàn Phú Quý niêm yết giá vàng miếng SJC ở mức 66,45 triệu đồng/lượng (mua vào) và 67,15 triệu đồng/lượng (bán ra), tăng tương ứng 430.000 đồng/lượng và 450.000 đồng/lượng so với sáng hôm qua",1.0
Sở Giao dịch Chứng khoán Tp,0.0
"Các nhà hoạch định chính sách tiền tệ của Cục Dự trữ Liên bang Mỹ (Fed) có vẻ như sẽ tiếp tục tăng lãi suất trong cuộc họp vào tháng tới, bỏ qua sự cảnh báo của giới phân tích về một cuộc suy thoái kinh tế có thể xảy ra và tin rằng có cần hành động thêm để chống lạm phát. Quyết tâm này được thể hiện ngay cả khi số liệu thống kê mới nhất cho thấy lạm phát toàn phần tiếp tục dịu đi.Về triển vọng chính sách tiền tệ của Fed sau cuộc họp tháng 5, các quan chức Fed và giới chuyên gia kinh tế có quan điểm thiếu sự đồng nhất và rõ ràng.Tuần trước, Bộ Lao động Mỹ công bố báo cáo chỉ số giá tiêu dùng (CPI) tháng 3 cho mức tăng 0,1% so với tháng 2 và tăng 5% so với cùng kỳ năm ngoái",0.0
"Ngày 9/5, ông Tần Cương đã có cuộc gặp với người đồng cấp Đức Annalena Baerbock ở Berlin",0.0
"Áp lực giảm trở lại nếu VN-Index thất bại trong việc vượt lên kháng cự 1.040-1.050(Công ty Cổ phần Chứng khoán Bảo Việt – BVSC)“Thị trường phản ứng tích cực sau khi Nghị định 08 với nhiều điều khoản được sửa đổi theo hướng hỗ trợ cho thị trường Trái phiếu được ban hành. Tuy nhiên, chúng tôi cho rằng mức độ tác động của sự kiện này đối với thị trường có thể chỉ mang tính thời điểm. Trên cơ sở đó, chúng tôi thiên về khả năng thị trường sẽ tăng điểm trong các phiên đầu tuần tuy nhiên áp lực giảm điểm trở lại có thể sẽ sớm xuất hiện trở lại, đặc biệt là nếu VN-Index thất bại trong việc vượt lên vùng kháng cự 1040-1050 điểm",0.0
"Kế hoạch kinh doanh được MBS đưa ra dựa trên kỳ vọng môi trường kinh tế vĩ mô Việt Nam ổn định hơn trong năm 2023 với mức tăng trưởng GDP trên 6% do mức nền thấp giai đoạn dịch COVID-19 không còn và nền kinh tế toàn cầu tăng trưởng chậm lại tác động đến xuất khẩu của Việt Nam. Lạm phát dự kiến giảm về mức 3% do nhu cầu hàng hóa cơ bản giảm cũng như chịu tác động bởi mặt bằng lãi suất cao trên toàn cầu.Mặt khác, thị trường chứng khoán Việt Nam bước sang năm 2023 sẽ còn gặp nhiều khó khăn, nhưng có thể tích cực hơn khi Cục Dự trữ Liên bang Mỹ (Fed) dừng hoặc thậm chí giảm lãi suất về cuối năm để hỗ trợ nền kinh tế khi lạm phát được kiểm soát tốt",1.0
 Tuy nhiên riêng mức tăng ở VND đã tới 860 tỷ đồng,-1.0
 Giới chức an ninh Mỹ cho rằng Huawei có vai trò hậu thuẫn Chính phủ Trung Quốc tham gia hoạt động gián điệp,-1.0
" Ngoài ra, lực mua vàng của các ngân hàng trung ương cũng đang nâng đỡ giá vàng, bất chấp xu thế bán ròng của các quỹ giao dịch hoán đổi (ETF) như quỹ SDPR Gold Trust.“Ngưỡng chủ chốt của vàng sẽ là ngưỡng 1.800 USD/oz. Lực mua mạnh của các ngân hàng trung ương, nhất là Trung Quố và Thổ Nhĩ Kỳ, giúp cho sự hỗ trợ ở ngưỡng này vẫn rất mạnh”, nhà phân tích Rupert Rowling của Kinesis Money nhận định với MarketWatch",1.0
"Sau 3 năm ảnh hưởng bởi dịch Covid-19, lượng khách du lịch tới Việt Nam trong 5T2023 đã có sự cải thiện hơn rất nhiều so với cùng kỳ 2022 (gấp 13 lần 5T2022) và đã tương đương 63% so với trước dịch vào 2019. Khách du lịch quốc tế sẽ hồi phục nhanh hơn trong thời gian tới, đặc biệt từ Trung Quốc vào dịp hè và đầu quý 4. Đây cũng sẽ là nguồn cung ngoại tệ đáng kể",1.0
" Ngoài ra, nhà đầu tư có tâm lý thận trọng trong bối cảnh kế hoạch kinh doanh của các doanh nghiệp không khả quan, điều này có thể ảnh hưởng đến tâm lý ngắn hạn và dòng tiền sẽ phân hóa.Xu hướng ngắn hạn của thị trường chung vẫn duy trì ở mức giảm",-1.0
"Trước đó, Cơ quan Cảnh sát điều tra Bộ Công an (Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu) điều tra vụ án Lừa đảo chiếm đoạt tài sản, xảy ra tại Công ty TNHH Thương mại Dịch vụ Khách sạn Tân Hoàng Minh và các tổ chức có liên quan theo Quyết định khởi tố vụ án hình sự số 19/QĐ-CSKT-P10 ngày 05/4/2022.Quá trình điều tra, Cơ quan Cảnh sát điều tra Bộ Công an đã làm rõ hành vi phạm tội của các bị can trong vụ án, gây thiệt hại cho bị hại (cá nhân, tổ chức mua trái phiếu Tân Hoàng Minh) tổng số hơn 8.643 tỷ đồng, kết quả điều tra thu hồi được tổng số tiền hơn 8.644 tỷ đồng để khắc phục hậu quả, hoàn trả cho bị hại trong vụ án theo quy định pháp luật.   Căn cứ, tài liệu kết quả điều tra, ngày 29/9/2023, Cơ quan Cảnh sát điều tra Bộ Công an đã ban hành Bản kết luận điều tra và chuyển hồ sơ vụ án đến Viện kiểm sát nhân dân tối cao (Vụ 3), để nghị truy tố 15 bị can trong vụ án về tội “Lừa đảo chiếm đoạt tài sản” theo Điều 174 Bộ luật Hình sự năm 2015, sửa đổi, bổ sung năm 2017.  Cơ quan Cảnh sát điều tra Bộ Công an thông báo kết quả điều tra vụ án như trên để các cá nhân, tổ chức là bị hại và người bảo vệ quyền, lợi ích hợp pháp của bị hại trong vụ án biết, đảm bảo quyền lợi của bị hại theo quy định pháp luật.Thiếu tướng Nguyễn Văn Thành, Phó Cục trưởng Cục Cảnh sát kinh tế Bộ Công an. Danh sách 15 bị can vụ Tân Hoàng Minh gồm:  - Đỗ Anh Dũng, Chủ tịch HĐQT kiêm Tổng giám đốc Công ty TNHH Thương mại Dịch vụ Khách sạn Tân Hoàng Minh (Tập đoàn Tân Hoàng Minh)",-1.0
" Dù vậy phiên sáng khối này bán ròng lớn, nên tính chung cả phiên mức rút ròng vẫn là -225,9 tỷ. Các mã bị bán nhiều là HPG -179 tỷ, MWG -99,6 tỷ, GVR -46,9 tỷ, VNM -378 tỷ, GEX -36,7 tỷ, BCM -34,3 tỷ, CTG -33,3 tỷ… Tính chung cổ phiếu trong rổ VN30 bị bán ròng hơn 377 tỷ đồng",-1.0
" Lượng tiền vào mạnh hơn dự tính và đánh tập trung trong nhóm blue-chips hàng đầu đã tạo nhiều điểm số. Khi các chỉ số mạnh lên, đà tăng lan tỏa tốt và tâm lý chung trở nên hưng phấn",1.0
